article_id,title,author,publication_year,overall_comments,vol_nr,issue_nr,journal,misc_2,web_url,doi,trial_nr,protocol,results_of_the_protocol_already_published,published_results_included_in_the_list,pooled_analysis,post_hoc_secondary_analysis,continent_last_author,sample_size,cci_1st_ep,cci_2nd_ep,cci_expl_ep,cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci,between_group_difference_of_cci_12,mean_or_median_used,cci_for_ss_used,if_cci_used_specification_of_ss_calculation,study_must_be_excluded_e_g_protocol_whose_study_has_been_conducted,evaluation_unclear,comments,doi_protocol,protocol_published,cci_1st_ep_in_protocol,cci_in_ss_calculation_of_protocol,specification_of_ss_calculation,definition_of_non_inf_margin,article_ID,Title,paper_type,study_type,discipline,continent,cci_report_in_results
28,"Effect of perioperative rehabilitation exercise on postoperative outcomes in patients aged ≥65 years undergoing gastrointestinal surgery: A multicenter randomized controlled trial
","Lv, X.; Hou, A.; Han, S.; Cao, J.; Lou, J.; Li, H.; Min, S.; Tan, H.; Li, S.; Lv, F.; Zhou, Z.; Chi, M.; Zhang, H.; Liu, Y.; Mi, W.",2024,NA,99,NA,"Journal of clinical anesthesia
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207891939&doi=10.1016%2fj.jclinane.2024.111670&partnerID=40&md5=f3da79824e8ec0b10de5e090d2727e80
",10.1016/j.jclinane.2024.111670,ChiCTR2100045560,Not a protocol,na,na,No,No,4,160,Yes,No,No,1,0,NA,Yes,Yes,3.9,No,Mean,Yes,"The sample size calculation was based on our preliminary experiment. A sample size estimate based on a mean CCI difference of 5.05 between groups, an standard deviation (SD) of (10.44) 4.77, a two-sided α of 0.05, and a power of 90 % showed that 56 cases in each group would be sufficient. To account for potential preoperative exclusions (e.g., patients who did not undergo surgery or had cognitive impairment before surgery) and missing data or dropout, we planned to recruit 186 patients.",No,NA,NA,https://www.chictr.org.cn/showprojEN.html?proj=124431,NA,Yes,NA,na,NA,28,"Effect of perioperative rehabilitation exercise on postoperative outcomes in patients aged ≥65 years undergoing gastrointestinal surgery: A multicenter randomized controlled trial
",Article,NA,"ICU,Anesthesiology",Asia,Yes
66,"Ghost-ileostomy versus conventional loop ileostomy in patients undergoing low anterior resection for rectal cancer: results of a randomised controlled multicentre pilot trial (DRKS00013997)
","Hüttner, F.J.; Probst, P.; Mihaljevic, A.L.; Sauer, L.D.; Doerr-Harim, C.; Ulrich, A.; Stratmeyer, S.; Klotz, R.; Diener, M.K.; Knebel, P.",2024,NA,409,1,"Langenbeck's Archives of Surgery
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209478931&doi=10.1007%2fs00423-024-03530-6&partnerID=40&md5=6c4111e24d2a9b1b39eeb5e4b03ad3c2
",10.1007/s00423-024-03530-6,DRKS00013997,Not a protocol,na,na,No,No,1,30,Yes,No,No,1,0,na,No,No,2.7,No,Mean,No,"Since the GHOST trial was an exploratory pilot trial, there was no formal sample size calculation. According to the suggested rules of thumb for sample size estimation by Whitehead et al. expecting a small standardised effect size (0.1 ≤ δ ≤ 0.3), it was planned to include 30 patients per group to have at least 25 analysable patients in both groups [20]. This number was considered suitable for assessment of safety and a preliminary sample size calculation for a subsequent larger confirmatory trial with a power of 90%.",NA,NA,Pilot study,https://doi.org/10.1136/bmjopen-2020-038930,NA,Yes,No,"HOST is a pilot trial focusing on safety and feasibility of the procedure; therefore, no formal sample size calculation has been performed. The total of 30 randomised and at least 25 analysable patients in each group were judged to be sufficient for assessment of safety and a preliminary sample size calculation for a subsequent larger confirmatory trial. This is in accordance with the suggested rule of thumb for sample size estimation in pilot trials by Whitehead et al, if a small standardised effect size (0.1 ≤ δ≤0.3) is expected and the main trial’s sample size will be calculated with a power of 90%.21",NA,66,"Ghost-ileostomy versus conventional loop ileostomy in patients undergoing low anterior resection for rectal cancer: results of a randomised controlled multicentre pilot trial (DRKS00013997)
",Article,Pilot/ Safety study,Abdominal Surgery,Europe,Yes
131,"Morbidity after Mechanical Bowel Preparation and Oral Antibiotics Prior to Rectal Resection: The MOBILE2 Randomized Clinical Trial
","Koskenvuo, L.; Lunkka, P.; Varpe, P.; Hyöty, M.; Satokari, R.; Haapamäki, C.; Lepistö, A.; Sallinen, V.",2024,NA,159,6,JAMA Surgery,"Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190260619&doi=10.1001%2fjamasurg.2024.0184&partnerID=40&md5=b2bafc5dee65896bdc3b27a44fcf1e9f
",10.1001/jamasurg.2024.0184,NCT04281667,Not a protocol,na,na,No,No,1,610,Yes,No,No,1,0,NA,Yes,Yes,8.7,No,Median,Yes,"The sample size calculation was based on the baseline risk of deep incisional and organ or space SSIs in anterior rectal resections performed at Helsinki University Hospital between 2005 and 2011 (approximately 13%)24 and in our group’s previous trial that recruited patients for colon surgery (the MOBILE1 trial; approximately 6% to 8%).25 The mean (SD) CCIs in the 2 groups in the MOBILE1 trial were 9 (16) points and 10 (13) points. Therefore, we estimated that both the CCI and SD would be higher in patients undergoing rectal surgery than in those undergoing colon surgery. The sample size was calculated with the aim of showing a difference of 5 CCI points between the 2 groups (hypothesis: a mean [SD] 12.5 [18] points in the MOABP group and 17.5 [18] points in the MBP plus placebo group). With a power of 90% and a margin of error of 5%, 574 patients needed to be recruited (Wilcoxon-Mann-Whitney test). About 5% of patients were estimated to be excluded after randomization, resulting in a final sample size goal of 604 patients.19",No,NA,NA,doi: 10.1136/bmjopen-2021-051269.,NA,Yes,Yes,"In Helsinki University Hospital, the number of leakages/ abscesses related to low anterior resections performed in 2005–2011 was 12.8%, but minor wound complications were not reported.23 In our previous randomised MOBILE study comparing MOABP to NBP, patients undergoing colon resection had leakage/abscess rate of approximately 6%–8% and a CCI of 9–10 with SD 13–16.13 Based on these figures, we estimate that the CCI is higher in rectal surgery than in colon surgery and the SD may also be higher. Sample size was calculated with the aim of showing a difference of 5 CCI points between the groups (hypothesis: 12.5 points in the MOABP group, 17.5 points in the MBP group). The SD is estimated to be 18 in both groups. With a power of 90% and a margin of error of 5%, 574 patients need to be recruited (Willcoxon- Mann- Whitney test). About 5% of patients are estimated to become lost to follow- up, resulting in a final sample size of 604 patients.",na,131,"Morbidity after Mechanical Bowel Preparation and Oral Antibiotics Prior to Rectal Resection: The MOBILE2 Randomized Clinical Trial
",Article,Superiority study,Abdominal Surgery,Europe,Yes
187,"Postoperative Complications and Mobilization Following Major Abdominal Surgery with Versus Without Fitness Tracker-based Feedback (EXPELLIARMUS): A Student-led Multicenter Randomized Controlled Clinical Trial of the CHIR- Net SIGMA Study Group
","Mihaljevic, A.L.; André, M.; Niall, B.; Pia-Elena, F.; Mirco, F.; Nico, G.; Julia, G.; Maximilian, J.; Charlotte, K.; Franziska, L.; Max, P.; Thomas, R.; Marius, S.; Alexander, S.-F.; Thomas, T.; Colette, D.-H.; Solveig, T.; Manuel, F.; Christina, K.; Johannes, V.; Lydia, B.; Radina-Ivaylova, D.; Pia, J.; Johanna, K.; Sonja, R.; Julia-Franziska, S.; Till, S.; Christoph, S.; Rico, W.; Steffen, A.; Celine, H.; Jana, R.; Dario, V.W.; Constantin, W.; Julia, Z.; Julia, B.; Robert, B.; Anne Marie Desiree, D.A.L.; Gerlinde, F.; Felix, H.; Niki, K.-A.; Hanna, K.; Johannes, K.; Niklas, K.; Daniel, L.; Marc, S.; Philip, S.; Rachel, S.; Clara Friederike, S.; Lisa-Marie, W.; Jonas, W.; Vincent-Noah, V.L.; Jens, N.; Viet Hoang, N.; Mariam, A.-W.; Patrick, K.; Niklas, M.L.; Sara Fatima, F.-U.-Z.; Zeynep, B.; Margarete, R.L.; Markus, D.; Christoph, G.; Sophie, H.; Louise, A.M.; Lena, A.; Tammy, D.; Elisabeth, G.; Christa, M.; Hannah, P.; Elisa, P.; Ruben, P.; Katharina, S.; Dominik, S.; Anna, S.; Christoph, Z.; Maximilian, V.H.; Georg, E.; Ricardo, K.; Naomi, G.; Gideon, L.; Kjell, K.; Michael, T.; Nikolas, P.; Andreas, S.; Patrick, B.; Sarah, G.; Lisa, G.; Julia, K.; Jil, M.; Claudia, P.; Michael, R.A.; Hannah, S.; Ajith, T.; Daniel, W.M.; Florian, V.; Melissa, B.; Charlotte, K.; Kilian, B.; Sophie, B.A.; Fynn, B.; Sven, B.; Jonas, B.; Yannick, D.; Sebastian, F.; Cornelius, F.; Huilin, G.; Nathanael, H.B.; Sophie, H.; Max, H.; Florian, I.; Julia, J.; Carolin, K.; Hannah, K.; Ji, K.; Lukas, K.; Clara, K.; Felix, K.; Philippa, L.; Julia, L.; Daniela, M.; Linh-Cathrin, N.; Zoe, P.; Vanessa, P.; Daniela, P.; Rebecca, R.; Anna, R.-V.; Jonathan, S.; Corinna, S.; Nikolai, S.; Malko, S.; Maximilian, T.; Deborah, V.E.; Omrahn, W.; Virginia, W.; Rosa, K.; Jan-Paul, G.; Felix, W.; Thomas, B.; Jonas, V.; Leon, S.; Kathrin, F.M.; Fiona, Z.; Sophia, S.E.; Lisa, S.; Patrizia, S.; Lukas, Z.; Anna, R.; Florian, H.; Corinna, M.-G.; Florian, O.; Antonia, W.; Quentin, F.; Morgana, M.; Max, S.; Alina, K.; Malte, S.; Petra, Z.; Meret, E.; Jonathan, B.; Samira, G.; Janina, H.; Dominik, H.; Majd, I.; Luise, K.; Natalija, K.; Anastasia, K.; Pascal, L.; Marin, Z.; Linyun, Z.; Maximilian, D.; Sandra, G.; Patrick, H.; Nadir, N.; Dan, R.",2024,NA,280,2,Annals of Surgery,"Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198084238&doi=10.1097%2fSLA.0000000000006232&partnerID=40&md5=18fe5ee1ea966bd50b2a730f39e737d9
",10.1097/SLA.0000000000006232,DRKS00016755,Not a protocol,na,na,No,No,1,347,Yes,No,No,1,0,NA,No,No,1,No,Mean,Yes,"The sample size calculation was based on the primary end point “CCI within 30 days after the index operation.” Assumptions were based on the literature:26,27,32 a decrease of 10 points in the CCI was considered relevant by patients and clinicians, and a conservative SD of 20 was assumed. The primary end point was tested simultaneously in the subgroup of patients who underwent minimally invasive surgery and the subgroup of patients who underwent open surgery with an expected ratio of occurrence in patients of 1:1 using a 2-sided t-test. Therefore, the overall 2-sided significance level of α=0.05 was adjusted by Bonferroni correction, yielding α=0.025 for each of the 2 subgroups. Thus, to achieve a power of 80%, a sample size of n=156 (78 per group) had been recruited per subgroup, with a total required sample size of the trial of n=312 (156 per therapy group). To compensate for drop-outs and loss-to-follow-up, another 10% of patients were randomized, leading to a total sample size of n=348 (174 per group).",No,NA,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-4220-8,NA,Yes,Yes,"The sample size calculation is based on the primary endpoint “CCI within 30 days after the index operation”. Assumptions are based on the literature [39, 40, 50]: a decrease of the CCI by 10 points is considered relevant by patients and clinicians (minimal important difference, [40]) and a conservative standard deviation of 20 is assumed. The CCI in major abdominal surgery (control intervention) is assumed to be 22 [39, 40]. We hypothesise to decrease the CCI by 10 points in the interventional group (minimal important difference, [40]). The primary endpoint is tested simultaneously using a two-sided t test in the subgroup of patients with a minimally invasive surgery and the subgroup of patients experiencing an open surgery. The ratio of minimally invasive to open is expected to be 1:1. Therefore, the overall two-sided significance level of α = 0.05 is adjusted by Bonferroni correction, yielding α = 0.025 for each of the two subgroups. Thus, to achieve a power of 80%, a sample size of n = 156 (78 per group) has to be recruited per subgroup with a total required sample size of the trial of n = 312 (156 per therapy group). To compensate for drop-outs and lost-to-follow-ups, a further 10% of patients will be randomised, leading to a total sample size of n = 348 (174 per group). Patients who die during the observation period receive the maximum number of 100 CCI points per definition [39, 40].",ba,187,"Postoperative Complications and Mobilization Following Major Abdominal Surgery with Versus Without Fitness Tracker-based Feedback (EXPELLIARMUS): A Student-led Multicenter Randomized Controlled Clinical Trial of the CHIR- Net SIGMA Study Group
",Article,Superiority study,Abdominal Surgery,Europe,Yes
67,"Prognostic impact of a 3-week multimodal prehabilitation program on frail elderly patients undergoing elective gastric cancer surgery: a randomized trial
","Chen, J.; Hong, C.; Chen, R.; Zhou, M.; Lin, S.",2024,NA,24,1,"BMC Gastroenterology
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209476112&doi=10.1186%2fs12876-024-03490-7&partnerID=40&md5=05f18865851b661a7278cae0b6a38921
",10.1186/s12876-024-03490-7,NCT06510088,Not a protocol,na,na,No,No,4,126,Yes,No,No,1,0,na,No,No,0,No,Median,Yes,"An intention-to-treat population analysis was conducted. The calculation for the sample size was derived from the mean (standard deviation, SD) CCI (10.5 [14]) observed in our population, with a 30% reduction in the CCI deemed clinically significant. By employing an α of 0.05, a power of 0.90 (2-sided test), and accounting for an anticipated dropout rate (e.g., surgeries not performed) of 10%, the target was set to enroll 120 participants (60 per group).",No,NA,used mean and median. In initial protocol they defined co-primary EP,https://clinicaltrials.gov/study/NCT06510088?tab=table,NA,Yes,NA,na,na,67,"Prognostic impact of a 3-week multimodal prehabilitation program on frail elderly patients undergoing elective gastric cancer surgery: a randomized trial
",Article,Superiority study,Abdominal Surgery,Asia,Yes
132,"Short Postoperative Intravenous Versus Oral Antibacterial Therapy in Complicated Acute Appendicitis: A Pilot Noninferiority Randomized Trial
","Lipping, E.; Saar, S.; Reinsoo, A.; Bahhir, A.; Kirsimägi, Ü.; Lepner, U.; Talving, P.",2024,Pilot study,279,2,Annals of Surgery,"Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182091286&doi=10.1097%2fSLA.0000000000006103&partnerID=40&md5=f73e1d60e723847b14f1f203653b0b0c
",10.1097/SLA.0000000000006103,NCT04947748,Not a protocol,na,na,No,No,1,104,Yes,No,No,1,0,na,No,No,0,No,Mean,No,"A formal sample size calculation was not performed for this pilot trial due to the lack of previous studies deploying comparable antibacterial therapy in complicated appendicitis. We evaluated the number of participants required to be around 50 per study arm, as recommended by Whitehead et al",NA,NA,Pilot study,https://clinicaltrials.gov/study/NCT04947748?tab=table&a=,NA,No,NA,na,0,132,"Short Postoperative Intravenous Versus Oral Antibacterial Therapy in Complicated Acute Appendicitis: A Pilot Noninferiority Randomized Trial
",Article,Pilot/ Safety study,Abdominal Surgery,Europe,Yes
129,"The Effect of Perioperative Dexamethasone on Postoperative Complications after Pancreaticoduodenectomy: A Multicenter Randomized Controlled Trial
","Chen, H.; Wang, Y.; Jiang, K.; Xu, Z.; Jiang, Y.; Wu, Z.; Lu, X.; Wang, C.; Weng, Y.; Wang, W.; Ding, R.; Zheng, S.; Li, Y.; Fu, X.; Shi, G.; Wang, J.; Chen, H.; Peng, C.; Deng, X.; Qiu, Y.; Luo, Y.; Sun, B.; Shen, B.",2024,NA,280,2,Annals of Surgery,"Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193407432&doi=10.1097%2fSLA.0000000000006240&partnerID=40&md5=b0cdc2b6d3abffe2b330f3caa0578fed
",10.1097/SLA.0000000000006240,NCT05567094,Not a protocol,na,na,No,No,4,300,Yes,No,No,1,0,na,No,No,3.9,No,Mean,Yes,"A recent large trial conducted in 34 French centers (the PACMAN trial) showed that perioperative 0.2 mg/kg dexamethasone reduced morbidities and mortalities by almost 30% in nonthoracic surgeries.14 In addition, the Finnish trial reported that perioperative hydrocortisone reduced major complications after pancreaticoduodenectomy by more than 50% in high-risk patients.17 Therefore, we hypothesized that perioperative dexamethasone could reduce overall complications in the entire cohort by at least 30%. The overall morbidity after pancreaticoduodenectomy, including Clavien-Dindo grades I to V, has been reported to be at least 60%.3,25–27 We chose the CCI as the primary outcome because it is more sensitive and requires a smaller sample size compared with the Clavien-Dindo classification in clinical trials.19 We estimated that the enrolment of 128 patients per arm would provide 80% power with an α-error of 0.05 to detect a 30% relative reduction in the rate of postoperative complications. The final sample size was set at 300 to account for a 20% dropout or protocol deviation.",No,No,protocol of this study is Nr. 180,doi: 10.1186/s13063-023-07571-y.,NA,Yes,Yes,"The Finland RCT reported that perioperative hydrocortisone significantly reduced postoperative complications after PD in high-risk patients (18% vs. 41%; P < 0.05; Clavien-Dindo III-IV) [14]. Based on the pancreatic transection line frozen samples, high-risk patients with >40% acini consisted of more than half of the cohort. Because 0.2 mg/kg dexamethasone has theoretically a similar anti-inflammatory effect to hydrocortisone, so we presume that the perioperative dexamethasone could reduce at least 30% of major complications in the whole PD cohort. For the sample size calculation, a 30% reduction in the rate of overall complications was assumed with a power of 80% (β=0·2), and an α-error of 0.05. This yielded an estimated group size of 128 patients. Finally, the sample size of this study is based on the primary outcome — CCI. Because CCI is more sensitive and requires a smaller sample size compared to the Clavien-Dindo classification in RCT, 128 patients in each group are sufficient for the primary outcomes [24]. Finally, the target recruitment of the PANDEX trial will be set at 300 to account for 20% dropout or deviation of the protocol. Thus, 150 patients are required in each group.",ba,129,"The Effect of Perioperative Dexamethasone on Postoperative Complications after Pancreaticoduodenectomy: A Multicenter Randomized Controlled Trial
",Article,Superiority study,"ICU,Anesthesiology",Asia,Yes
3262,Twenty-four hour versus extended antibiotic administration after surgery in complicated appendicitis: A randomized controlled trial,"Saar, S.; Mihnovitš, V.; Lustenberger, T.; Rauk, M.; Noor, E. H.; Lipping, E.; Isand, K. G.; Lepp, J.; Lomp, A.; Lepner, U.; Talving, P.",2019, ,86,1,Journal of Trauma and Acute Care Surgery,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058880480&doi=10.1097%2fTA.0000000000002086&partnerID=40&md5=a32844987590294443d3d0cc93f5fa4d,10.1097/TA.0000000000002086, ,Not a protocol,na,na,No,No,1,80,Yes,No,No,1,0,na,No,No,1.53,No,Mean,NA,na,No,No,study endpoint unclear,asked the PI to send me the protocol,NA,NA,NA,NA,NA,3262,Twenty-four hour versus extended antibiotic administration after surgery in complicated appendicitis: A randomized controlled trial,Article,NA,Abdominal Surgery,Europe,Yes
9217,"Prehabilitation in patients undergoing colorectal surgery fails to confer reduction in overall morbidity: results of a single-center, blinded, randomized controlled trial
","Gloor, S.; Misirlic, M.; Frei-Lanter, C.; Herzog, P.; Müller, P.; Schäfli-Thurnherr, J.; Lamdark, T.; Schregel, D.; Wyss, R.; Unger, I.; Gisi, D.; Greco, N.; Mungo, G.; Wirz, M.; Raptis, D. A.; Tschuor, C.; Breitenstein, S.",2022,NA,407,3,"Langenbeck's Archives of Surgery
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123919498&doi=10.1007%2fs00423-022-02449-0&partnerID=40&md5=1a97bb3b40953124d8ebf9224f074884
",10.1007/s00423-022-02449-0,NCT02746731,Not a protocol,na,na,NA,NA,1,112,Yes,No,No,1,0,na,No,No,3,No,Mean,Yes,"Based on an expected mean of CCI® of 10 (SD 5) in patients undergoing colorectal surgery (group of the Cantonal Hospital Winterthur), we anticipated that preoperative physical prehabilitation may decrease the CCI® by 25% [15, 18] (alpha-error: 0.05, power (1-b): 0.8, 2-sided test). A reduction of complications and CCI® by at least 25% was agreed to be a clinically relevant endpoint. Thus, the treatment group mean was set at 7.5 and the standard deviation was adjusted accordingly (SD 3.75) [16]. The number of patients was assessed to be 51 in each randomized group. Considering a putative dropout rate of 10%, we determined that a sample size of 56 patients per randomized group (total: n = 112) would be required.",No,No, ,doi: 10.2196/resprot.7972,NA,Yes,Yes,"The sample size calculation was performed assuming a clinically relevant 25% reduction of postoperative complications as assessed by the Comprehensive Complication Index (CCI) favoring the treatment group (prehabilitation) when compared to the control group (no prehabilitation) [7,8]. Using a dataset of 47 patients who underwent ERAS colorectal surgery in our department, we determined the mean CCI was 10 (SD 5). Thus, the treatment group mean was set at 7.5, and the standard deviation was adjusted accordingly (SD 3.75) [9]. The alpha error was typically set at .05 and power at 80%. The initial total sample size of 102 patients was increased by 10% to adjust for potential of loss to follow-up resulting in a total sample size of 112 participants (ie, 56 participants per group respectively).
",ba,9217,"Prehabilitation in patients undergoing colorectal surgery fails to confer reduction in overall morbidity: results of a single-center, blinded, randomized controlled trial
",Article,Superiority study,Abdominal Surgery,Europe,Yes
NA,"Effect of Multimodal Prehabilitation vs Postoperative Rehabilitation on 30-Day Postoperative Complications for Frail Patients Undergoing Resection of Colorectal Cancer
A Randomized Clinical Trial","Carli F, Bousquet-Dion G, Awasthi R, Elsherbini N, Liberman S, Boutros M, Stein B, Charlebois P, Ghitulescu G, Morin N, Jagoe T, Scheede-Bergdahl C, Minnella EM, Fiore JF Jr.",2020,NA,NA,NA,JAMA Surgery,NA,NA,10.1001/jamasurg.2019.5474,NCT02502760,Not a protocol,na,na,No,No,2,120,Yes,No,No,1,0,na,No,No,3.2,No,Mean,Yes,"DatawereanalyzedfromJuly25throughAugust21,2019.The sample size requirement for this trial was estimated for an α level of 0.05 and 90% power to detect a 10-point difference intheCCIbetweengroups.Thisdifferenceof10pointsisconsidered clinically relevant because it reflects the differential burden of one grade 1 complication in the Clavien-Dindo classification.35,36 In a previous study,43 the mean(SD)CCIin the participating institutions was 10.45 (15.8). Based on this estimate, a sample of 53 participants per group was considered sufficient for our analysis. We aimed to recruit a total of 120 participants to account for potential preoperative exclusions(eg,surgerynotperformed)andapossibleincreaseindata variance owing to multiple imputation of missing data.",No,No,NA,protocol in supplement 1 of original paper,NA,Yes,Yes,"Sample!size!requirement!for!this!trial!was!estimated!for!an!α!level!of!0.05!and!90%!power!to! detect!a!10!point!difference!in!the!CCI!scale!between!groups.!This!difference!of!10!points!is! considered!clinically!relevant!as!it!reflects!1Pgrade!difference!in!the!ClavienPDindo!classification.! In!a!previous!work!(49)!at!the!MGH!and!JGH!the!mean!CCI!was!10.45!(SD!15.8).!Based!on!these! estimates,!a!sample!of!60!participants!per!group!is!considered!sufficient!for!our!analysis!and! accounts!for!a!possible!increase!in!data!variance.!Assuming!that!396!patients!(66%!of!the!total! 600)!diagnosed!with!colorectal!cancer!are!operated!each!year!in!both!hospitals,!approximately! 99!of!these!patients!(25%)!will!be!classified!as!intermediately!frail!or!frail.!Based!on!previous!trial! experience,!approximately!80%!of!these!patients!will!be!eligible!and!agree!to!participate.!",na,NA,"Effect of Multimodal Prehabilitation vs Postoperative Rehabilitation on 30-Day Postoperative Complications for Frail Patients Undergoing Resection of Colorectal Cancer
A Randomized Clinical Trial",Unknown,Superiority study,Abdominal Surgery,North America,Yes
